id,date,rxl,cid,lac,rnc
0,1259985223674,-89,49173,19,0
1,1259985224015,-89,49173,19,0
2,1259985224344,-89,49173,19,0
3,1259985224734,-89,49173,19,0
4,1259985225024,-89,49173,19,0
5,1259985225356,-89,49173,19,0
6,1259985225694,-89,49173,19,0
7,1259985226024,-89,49173,19,0
8,1259985226354,-89,49173,19,0
9,1259985226684,-89,49173,19,0
10,1259985227024,-89,49173,19,0
11,1259985227354,-89,49173,19,0
12,1259985227694,-89,49173,19,0
13,1259985228024,-89,49173,19,0
14,1259985228364,-89,49173,19,0
15,1259985228694,-89,49173,19,0
16,1259985229024,-89,49173,19,0
17,1259985229364,-89,49173,19,0
18,1259985229694,-89,49173,19,0
19,1259985230034,-89,49173,19,0
20,1259985230364,-89,49173,19,0
21,1259985230705,-89,49173,19,0
22,1259985231034,-89,49173,19,0
23,1259985231382,-89,49173,19,0
24,1259985231515,-89,49185,19,0
25,1259985231703,-89,49185,19,0
26,1259985232033,-89,49185,19,0
27,1259985232362,-89,49185,19,0
28,1259985232732,-89,49185,19,0
29,1259985233043,-89,49185,19,0
30,1259985233373,-89,49185,19,0
31,1259985233742,-89,49185,19,0
32,1259985234043,-89,49185,19,0
33,1259985234373,-89,49185,19,0
34,1259985234743,-89,49185,19,0
35,1259985235044,-89,49185,19,0
36,1259985235383,-89,49185,19,0
37,1259985235732,-89,49185,19,0
38,1259985236053,-89,49185,19,0
39,1259985236394,-89,49185,19,0
40,1259985236790,-89,49185,19,0
41,1259985237052,-89,49185,19,0
42,1259985237381,-89,49185,19,0
43,1259985237763,-89,49185,19,0
44,1259985238063,-89,49185,19,0
45,1259985238392,-89,49185,19,0
46,1259985238777,-89,49185,19,0
47,1259985239055,-89,49185,19,0
48,1259985239392,-89,49185,19,0
49,1259985239756,-89,49185,19,0
50,1259985240053,-89,49185,19,0
51,1259985240393,-89,49185,19,0
52,1259985240759,-89,49185,19,0
53,1259985241063,-89,49185,19,0
54,1259985241403,-89,49185,19,0
55,1259985241757,-89,49185,19,0
56,1259985242064,-89,49185,19,0
57,1259985242402,-89,49185,19,0
58,1259985242761,-89,49185,19,0
59,1259985243072,-89,49185,19,0
60,1259985243402,-89,49185,19,0
61,1259985243764,-89,49185,19,0
62,1259985244073,-89,49185,19,0
63,1259985244412,-89,49185,19,0
64,1259985244743,-89,49185,19,0
65,1259985245083,-89,49185,19,0
66,1259985245413,-89,49185,19,0
67,1259985245743,-89,49185,19,0
68,1259985246083,-89,49185,19,0
69,1259985246412,-89,49185,19,0
70,1259985246769,-89,49185,19,0
71,1259985247083,-89,49185,19,0
72,1259985247413,-89,49185,19,0
73,1259985247752,-89,49185,19,0
74,1259985248086,-89,49185,19,0
75,1259985248423,-89,49185,19,0
76,1259985248752,-89,49185,19,0
77,1259985249093,-89,49185,19,0
78,1259985249434,-89,49185,19,0
79,1259985249772,-89,49185,19,0
80,1259985250105,-89,49185,19,0
81,1259985250432,-89,49185,19,0
82,1259985251032,-89,49185,19,0
83,1259985251101,-89,49185,19,0
84,1259985251433,-89,49185,19,0
85,1259985251778,-89,49185,19,0
86,1259985252103,-89,49185,19,0
87,1259985252431,-89,49185,19,0
88,1259985252770,-89,49185,19,0
89,1259985253105,-89,49185,19,0
90,1259985253441,-89,49185,19,0
91,1259985253776,-89,49185,19,0
92,1259985254111,-89,49185,19,0
93,1259985254443,-89,49185,19,0
94,1259985254800,-89,49185,19,0
95,1259985255113,-89,49185,19,0
96,1259985255442,-89,49185,19,0
97,1259985255778,-89,49185,19,0
98,1259985256112,-89,49185,19,0
99,1259985256442,-89,49185,19,0
100,1259985256792,-89,49185,19,0
101,1259985257113,-89,49185,19,0
102,1259985257443,-89,49185,19,0
103,1259985257792,-89,49185,19,0
104,1259985258113,-89,49185,19,0
105,1259985258452,-89,49185,19,0
106,1259985258792,-89,49185,19,0
107,1259985259123,-89,49185,19,0
108,1259985259452,-89,49185,19,0
109,1259985259788,-89,49185,19,0
110,1259985260123,-89,49185,19,0
111,1259985260462,-89,49185,19,0
112,1259985260791,-89,49185,19,0
113,1259985261124,-89,49185,19,0
114,1259985261463,-89,49185,19,0
115,1259985261792,-89,49185,19,0
116,1259985262126,-89,49185,19,0
117,1259985262463,-89,49185,19,0
118,1259985262802,-89,49185,19,0
119,1259985263132,-89,49185,19,0
120,1259985263474,-89,49185,19,0
121,1259985263801,-89,49185,19,0
122,1259985264134,-89,49185,19,0
123,1259985264472,-89,49185,19,0
124,1259985264801,-89,49185,19,0
125,1259985265143,-89,49185,19,0
126,1259985265473,-89,49185,19,0
